id,question,Option_A,Option_B,Option_C,Option_D,Answer
325,What is the currency of India?,Taka,Rupiah,Rupee,Dirham,C
326,What is the most powerful piece in chess?,King,Queen,Rook,Bishop,B
327,What is the name of the longest wall ever built?,Hadrian's Wall,The Berlin Wall,The Great Wall of China,The Walls of Constantinople,C
328,What is the name of the court where basketball is played?,Court,Diamond,Pitch,Gridiron,A
329,How many years are in a decade?,5,10,20,25,B
330,What is the name of the study of volcanoes?,Seismology,Geology,Tectonics,Volcanology,D
331,What does 'AI' stand for?,Automated Intelligence,Artificial Intelligence,Advanced Interface,Automated Interface,B
332,What is the name of the first test-tube baby born in 1978?,Jane Brown,Louise Brown,Mary Brown,Anne Brown,B
333,How many minutes are in an hour?,30,45,60,90,C
334,Who voiced Buzz Lightyear in 'Toy Story'?,Tom Hanks,Will Smith,Tim Allen,Billy Crystal,C
335,What is the lifespan of a dog typically?,3-5 years,20-25 years,10-15 years,5-8 years,C
336,What is the capital of Madagascar?,Toamasina,Mahajanga,Antananarivo,Fianarantsoa,C
337,What does 'SSD' stand for?,Solid State Drive,Static Storage Drive,Super State Drive,Solid Storage Device,A
338,What is the name of the toy cowboy in 'Toy Story'?,Buzz,Rex,Woody,Hamm,C
339,What does 'danke' mean in German?,Please,Hello,Goodbye,Thank you,D
340,What year was the first email sent?,1975,1969,1971,1973,C
341,What does 'KPI' stand for?,Key Performance Index,Key Performance Indicator,Key Profit Indicator,Key Progress Index,B
342,What design principle refers to visually equal distribution of elements?,Contrast,Alignment,Proximity,Balance,D
343,What is the capital of Senegal?,Thiès,Saint-Louis,Ziguinchor,Dakar,D
344,What is the fear of spiders called?,Arachnophobia,Agoraphobia,Claustrophobia,Entomophobia,A
345,What is the capital of Tanzania?,Zanzibar,Mwanza,Dodoma,Dar es Salaam,C
346,What continent is Brazil in?,North America,South America,Central America,Caribbean,B
347,What is the setting of a story?,The plot,The theme,The characters,The time and place,D
348,What is the capital of Nepal?,Pokhara,Patan,Biratnagar,Kathmandu,D
349,What is the name of the person who leads an orchestra?,Conductor,Director,Maestro,Leader,A
350,What is a baby goose called?,Duckling,Cygnet,Chick,Gosling,D
351,What CSS property changes the text color?,font-color,text-color,color,foreground-color,C
352,What is an antonym for 'hot'?,Warm,Cold,Burning,Dry,B
353,What planet is known as the Blue Planet?,Neptune,Uranus,Mars,Earth,D
354,Which country is home to the Amazon Rainforest mostly?,Colombia,Peru,Brazil,Venezuela,C
355,What is the national animal of India?,Elephant,Tiger,Lion,Peacock,B
356,What does 'JSON' stand for?,Java Script Object Notation,JavaScript Object Notation,Java Serialized Object Notation,JavaScript Online Notation,B
357,Who invented the printing press?,Leonardo da Vinci,Galileo Galilei,Johannes Gutenberg,Isaac Newton,C
358,What is the name of the Egyptian god of the dead?,Ra,Horus,Seth,Anubis,D
359,What is the name of the study of rocks?,Geology,Petrology,Mineralogy,Lithology,A
360,How many teeth does an adult human have?,28,30,32,36,C
361,What is the name of the Roman god of war?,Jupiter,Neptune,Mars,Mercury,C
362,What is the name of the shape with no sides?,Sphere,Circle,Oval,Round,B
363,What is the name of the barrier that monitors network traffic for security?,Antivirus,VPN,Proxy,Firewall,D
364,How many points is a touchdown worth in American football?,3,7,4,6,D
365,Who wrote 'The Lord of the Rings'?,C.S. Lewis,J.K. Rowling,J.R.R. Tolkien,Terry Pratchett,C
366,What is the name for cutting down of forests?,Desertification,Deforestation,Erosion,Afforestation,B
367,What is the national sport of the United States?,American Football,Basketball,Baseball,Ice Hockey,C
368,What is the name of the space agency of the United States?,ESA,Roscosmos,JAXA,NASA,D
369,What is the name of the study of weather?,Climatology,Meteorology,Atmospheric science,Hydrology,B
370,What type of animal is a whale?,Fish,Reptile,Amphibian,Mammal,D
371,What is the capital of Bulgaria?,Plovdiv,Varna,Burgas,Sofia,D
372,What does 'aqua' mean in Latin?,Fire,Earth,Air,Water,D
373,Which animal is a monotreme?,Koala,Kangaroo,Wombat,Platypus,D
374,What does 'IQ' stand for?,Intelligence Quotient,Intellectual Quality,Intelligence Quality,Intellectual Quotient,A
375,What does 'cloud computing' mean?,Computing using only laptops,Computing using wireless connections,Storing and accessing data over the internet,Computing with solar power,C
376,How many sides does a hexagon have?,5,6,7,8,B
377,In which year did World War II end?,1943,1944,1946,1945,D
378,What is the name of Batman's butler?,Jarvis,Alfred,Hudson,Edwin,B
379,What is the name for singing without instrumental accompaniment?,Solo,A cappella,Duet,Aria,B
380,What does 'CFO' stand for?,Chief Financial Operations,Chief Financial Officer,Central Financial Officer,Chief Fiscal Officer,B
381,What language has the most words?,French,German,English,Spanish,C
382,What is the most recycled material in the world?,Paper,Glass,Plastic,Steel/Iron,D
383,What does 'au revoir' mean in French?,Hello,Thank you,Goodbye,Good morning,C
384,What is the capital of China?,Shanghai,Beijing,Guangzhou,Shenzhen,B
385,What is the name of a pre-written set of code you can use in your program?,Module,Library,Framework,Plugin,B
386,What part of the body is responsible for pumping blood?,Lungs,Brain,Heart,Liver,C
387,What is sarcasm?,Genuine praise,Ironic or cutting remarks,An exaggeration,A comparison,B
388,What is the name of the most prestigious journalism award?,Emmy Award,Peabody Award,Pulitzer Prize,Edward R. Murrow Award,C
389,How many continents are there on Earth?,5,6,7,8,C
390,What is composting?,Burning organic waste,Burying plastic waste,Recycling paper,Decomposing organic matter into fertilizer,D
391,What is a light-year?,The time light takes to travel one year,The distance light travels in one year,The speed of light,One billion kilometers,B
392,What is the name of the book that lists words with similar meanings?,Dictionary,Encyclopedia,Thesaurus,Glossary,C
393,What is a group of fish called?,Pod,School,Flock,Herd,B
394,What does 'OOP' stand for?,Object-Oriented Protocol,Object-Oriented Programming,Operator-Oriented Programming,Object-Oriented Process,B
395,What does 'trademark' protect?,Inventions,Creative works,Brands and logos,Software,C
396,What is a prototype in design?,A finished product,A wireframe,An early sample or model of a product,A design document,C
397,What is the capital of France?,Paris,London,Berlin,Madrid,A
398,What is the name of the design tool popular among UI/UX designers?,Sketch,Photoshop,Illustrator,Figma,D
399,What is the name for a fake name used by an author?,Alias,Pen name/Pseudonym,Nom de guerre,Anagram,B
400,What is the currency of Sweden?,Krone,Krona,Kron,Kronor,B
401,What gives red wine its color?,Added dye,Grape skin,Age,Tannins,B
402,What is the name of the text shown in a terminal when running a program?,Output,Input,GUI,Interface,A
403,What is the name of the Greek king of the gods?,Poseidon,Hades,Ares,Zeus,D
404,What does 'pro bono' mean?,For money,For free/charity,For practice,For publicity,B
405,What type of energy is produced by wind turbines?,Solar energy,Wind energy,Hydroelectric energy,Geothermal energy,B
406,What is the name of the final game in the NFL called?,The Big Game,Championship Game,Super Bowl,NFL Finals,C
407,"In basketball, how many points is a three-pointer worth?",2,3,4,5,B
408,What is the shape of the Earth?,Flat,Perfectly round,Cube-like,Oblate spheroid,D
409,What is the fear of heights called?,Arachnophobia,Claustrophobia,Acrophobia,Vertigo,C
410,What is the only bird that can fly backwards?,Hummingbird,Kingfisher,Swallow,Swift,A
411,In which fictional city does Superman live?,Gotham City,Central City,Metropolis,Star City,C
412,What is the capital of Iran?,Isfahan,Shiraz,Mashhad,Tehran,D
413,What is the name of the body part responsible for breathing?,Heart,Liver,Kidneys,Lungs,D
414,What is the hexadecimal number system based on?,Base 2,Base 8,Base 10,Base 16,D
415,How many sides does a pentagon have?,4,6,7,5,D
416,How many days are in February in a non-leap year?,27,28,29,30,B
417,What are the official languages of Canada?,English and French,English only,French and Indigenous languages,"English, French, and Spanish",A
418,What country is the Colosseum located in?,Greece,Turkey,Spain,Italy,D
419,What is the name for a book about a person's own life written by themselves?,Biography,Memoir,Autobiography,Diary,C
420,What is the currency of Mexico?,Peso,Real,Sol,Colon,A
421,What is the name of our galaxy?,Andromeda,Triangulum,Milky Way,Whirlpool,C
422,What animal is known for carrying its house on its back?,Hermit crab,Snail,Tortoise,All of the above,D
423,What is the currency of Brazil?,Peso,Real,Sol,Dollar,B
424,What is the symbol for hydrogen gas?,H,H2,2H,H3,B
425,How many players are on a volleyball team on the court?,4,5,7,6,D
426,What country is TikTok originally from?,USA,Japan,South Korea,China,D
427,What is the currency of the European Union?,Franc,Euro,Mark,Pound,B
428,What is the capital of South Korea?,Busan,Incheon,Daegu,Seoul,D
429,What is the name of the award given for excellence in music?,Oscar,Grammy,Emmy,Tony,B
430,What is the name of the fear of flying?,Aviophobia,Pteromerhanophobia,Both A and B are used,Claustrophobia,C
431,What is the official language of Brazil?,Spanish,English,French,Portuguese,D
432,What type of energy is produced by water flow?,Solar energy,Wind energy,Geothermal energy,Hydroelectric energy,D
433,Who painted the Sistine Chapel ceiling?,Raphael,Donatello,Leonardo da Vinci,Michelangelo,D
434,What does 'luna' mean in Latin?,Sun,Star,Sky,Moon,D
435,What is alliteration?,Repetition of vowel sounds,Repetition of the same initial consonant sound in words,A word that imitates sound,A reversed word,B
436,"What is the official language of Quebec, Canada?",English,French,Both English and French,French primarily,D
437,What type of pasta is shaped like a bow tie?,Fusilli,Rigatoni,Penne,Farfalle,D
438,Who was the first President of the United States?,John Adams,Thomas Jefferson,George Washington,Benjamin Franklin,C
439,What is the name of the largest hot desert in the world?,Arabian Desert,Gobi Desert,Sahara Desert,Australian Desert,C
440,How many pieces does each player start with in chess?,12,14,16,20,C
441,What is the name of the study of birds?,Entomology,Herpetology,Ichthyology,Ornithology,D
442,What was the first animal sent to space?,Dog,Monkey,Rabbit,Fruit fly,D
443,What does 'open AI' in OpenAI refer to?,Open source AI,Accessible AI for everyone,The name of the company's founders,No specific meaning,B
444,What is the name of the conflict or problem in a story?,Resolution,Climax,Exposition,Plot,D
445,What is the capital of North Macedonia?,Bitola,Ohrid,Skopje,Tetovo,C
446,What year were the first Nobel Prizes awarded?,1895,1900,1901,1905,C
447,What is the name of the body part that stores bile?,Pancreas,Liver,Gallbladder,Spleen,C
448,What sport uses a shuttlecock?,Tennis,Squash,Badminton,Ping Pong,C
449,What is the name of the mermaid in Disney's 'The Little Mermaid'?,Marina,Coral,Ariel,Pearl,C
450,What is the surface of the French Open tennis tournament?,Clay,Grass,Hard court,Carpet,A
451,What is the name of the family in 'The Jetsons'?,Spacely,Orbit,Cosmo,Jetson,D
452,What is the capital of Malaysia?,George Town,Johor Bahru,Kuala Lumpur,Ipoh,C
453,How many sides does a circle have?,0,1,Infinite,2,C
454,What country does the rugby team called the All Blacks represent?,Australia,South Africa,Ireland,New Zealand,D
455,What is the national animal of England?,Bear,Wolf,Lion,Eagle,C
456,What is the name of the tallest waterfall in the world?,Niagara Falls,Iguazu Falls,Yosemite Falls,Angel Falls,D
457,What does 'SOS' mean in distress signals?,Save Our Souls,Save Our Ship,Send Our Signal,"It has no literal meaning, just easy to signal",D
458,Who painted the Mona Lisa?,Michelangelo,Raphael,Leonardo da Vinci,Caravaggio,C
459,What type of animal pulls Cinderella's carriage?,Reindeer,Horses,Mice turned into horses,Donkeys,C
460,What is the capital of Angola?,Lubango,Huambo,Benguela,Luanda,D
461,What company owns GitHub?,Google,Apple,Microsoft,Meta,C
462,What does 'endangered' mean for a species?,Already extinct,At risk of becoming extinct,Invasive species,Protected by law,B
463,What does 'aloha' mean in Hawaiian?,Hello only,Goodbye only,"Hello, goodbye, and love",Thank you,C
464,What does 'patent' protect?,Creative works,Brands,Inventions and discoveries,Software only,C
465,What company makes the Xbox?,Sony,Nintendo,Microsoft,Sega,C
466,What sound does a cow make?,Oink,Baa,Moo,Cluck,C
467,What is the name of the study of fish?,Herpetology,Ornithology,Ichthyology,Mammalogy,C
468,What does 'shalom' mean in Hebrew?,Goodbye only,Hello only,"Hello, goodbye, and peace",Thank you,C
469,What is the name of the scale used to measure wind speed in hurricanes?,Fujita scale,Richter scale,Beaufort scale,Saffir-Simpson scale,D
470,What country is Stonehenge located in?,Ireland,France,Scotland,England,D
471,What are the three states of matter?,"Solid, liquid, gas","Hot, warm, cold","Solid, liquid, plasma","Gas, vapor, liquid",A
472,What is the name of code that repeats a set of instructions?,Function,Condition,Loop,Variable,C
473,What is a wireframe in design?,A detailed color mockup,A basic sketch of a design layout,A finished prototype,A design specification document,B
474,What is the name for the text of a film or play?,Novel,Screenplay/Script,Drama,Libretto,B
475,What is the capital of Bolivia?,Cochabamba,Santa Cruz,Sucre,La Paz,D
476,Who played James Bond in 'Casino Royale' (2006)?,Pierce Brosnan,Roger Moore,Sean Connery,Daniel Craig,D
477,What is the capital of Ireland?,Cork,Galway,Limerick,Dublin,D
478,What is the name for the written notation of a piece of music?,Lyrics,Score,Chart,Notation,B
479,What are the Nobel Prize categories?,"Physics, Chemistry, Medicine, Literature, Peace, Economics","Physics, Chemistry, Biology, Literature, Peace, Economics","Physics, Chemistry, Medicine, Literature, Peace, Maths","Science, Arts, Literature, Peace, Economics, Medicine",A
480,What is the name of the study of maps?,Geography,Geodesy,Cartography,Topography,C
481,What is the largest species of bear?,Grizzly bear,Brown bear,Kodiak bear,Polar bear,D
482,How many stars are approximately in the Milky Way?,1 billion,100 billion to 400 billion,1 trillion,10 billion,B
483,What does 'per se' mean?,By itself/in itself,For example,That is,Therefore,A
484,What is the name of the person who manages a server or network?,Programmer,Developer,System Administrator,IT Manager,C
485,What do you call music without words?,Instrumental,A cappella,Classical,Electronic,A
486,What does 'AR' stand for in technology?,Artificial Reality,Augmented Reality,Advanced Reality,Alternate Reality,B
487,Who wrote 'Hamlet'?,Christopher Marlowe,Ben Jonson,John Milton,William Shakespeare,D
488,What is the square root of 4?,1,2,3,4,B
489,In which year did World War I begin?,1916,1912,1918,1914,D
490,What is a fossil fuel?,Fuel from ancient organisms,Fuel from rocks,Fuel from fossils of dinosaurs,Synthetic fuel,A
491,What does 'ATM' stand for?,Automatic Teller Machine,Automated Transaction Machine,Automated Teller Machine,Automatic Transaction Machine,C
492,What are the four instruments in a standard string quartet?,"Two violins, viola, cello","Violin, two violas, cello","Violin, viola, two cellos","Two violins, two violas",A
493,What sport is known as America's pastime?,American Football,Basketball,Baseball,Ice Hockey,C
494,What is the name of the process by which a caterpillar becomes a butterfly?,Germination,Metamorphosis,Evolution,Transformation,B
495,Who painted 'The Starry Night'?,Paul Gauguin,Claude Monet,Vincent van Gogh,Paul Cézanne,C
496,What is the largest land animal?,Hippopotamus,Rhinoceros,African Elephant,Giraffe,C
497,In which sport is a 'slam dunk' a move?,Volleyball,Basketball,American football,Soccer,B
498,What is the name of the coffee shop in 'Friends'?,Java Joe's,The Coffee House,Central Perk,Brew Brothers,C
499,How many players are on a basketball team on the court?,4,6,5,7,C
500,What is the name of the Trojan War's greatest Greek warrior?,Odysseus,Hector,Paris,Achilles,D
501,What part of the body filters blood?,Heart,Lungs,Kidneys,Stomach,C
502,What color are a polar bear's hairs actually?,White,Cream,Transparent/hollow,Yellow,C
503,What is the capital of Lebanon?,Tripoli,Sidon,Tyre,Beirut,D
504,What does 'organic' food mean?,Food grown with pesticides,Food grown without synthetic pesticides or fertilizers,Food modified genetically,Food grown in water,B
505,"What is the name of the punctuation mark ','?",Period,Colon,Comma,Semicolon,C
506,What is the resolution of 'Full HD' video?,720p,1440p,4K,1080p,D
507,What does 'open source' software mean?,Software that is free to use,Software with freely available source code,Software made by volunteers,Software without copyright,B
508,Who played Iron Man in the Marvel movies?,Chris Evans,Chris Hemsworth,Robert Downey Jr.,Mark Ruffalo,C
509,What is the name of the clock in London also known as Big Ben?,Elizabeth Tower,Westminster Tower,Palace Tower,Victoria Tower,A
510,What is the Roman numeral for 50?,C,D,V,L,D
511,What is a baby swan called?,Chick,Gosling,Cygnet,Duckling,C
512,What is the longest river in the world?,Amazon,Yangtze,Mississippi,Nile,D
513,What is the name of the ship in 'Pirates of the Caribbean'?,The Flying Dutchman,The Black Pearl,The Interceptor,The Queen Anne's Revenge,B
514,What is the name of the lion in 'The Lion King'?,Mufasa,Simba,Scar,Nala,B
515,What is the name of a programming statement that checks a condition?,Loop,Function,Variable,If statement,D
516,What is a baby rabbit called?,Kit or kitten,Pup,Cub,Foal,A
517,What does 'bitte' mean in German?,Thank you,Please/You're welcome,Goodbye,Hello,B
518,What is a marsupial?,An egg-laying mammal,A mammal that carries young in a pouch,A mammal without fur,A nocturnal mammal,B
519,Who wrote 'Don Quixote'?,Lope de Vega,Cervantes,Pablo Neruda,García Márquez,B
520,What does 'GPS' stand for?,General Positioning System,Global Positioning System,Geographic Position System,Global Position Sensor,B
521,What is the term for converting data into a code to prevent unauthorized access?,Decryption,Hashing,Firewall,Encryption,D
522,What is the capital of the Netherlands?,Rotterdam,The Hague,Utrecht,Amsterdam,D
523,What does 'streaming' mean in media?,Downloading content for later,Watching or listening in real-time over the internet,Recording content,Sharing content with others,B
524,What is the name of the body part that breaks down food?,Heart,Liver,Stomach,Kidneys,C
525,What is the name of Homer Simpson's boss?,Lenny Leonard,Frank Grimes,Ned Flanders,Mr. Burns,D
526,What does 'ping' measure in networking?,Data speed,File size,Response time/latency,Bandwidth,C
527,What is the most populated country in the world?,USA,India,China,Russia,B
528,What is the 'exposition' of a story?,The climax,The ending,The introduction/background,The conflict,C
529,What is the symbol for potassium on the periodic table?,Po,Pm,Pr,K,D
530,What is the name of the musical symbol that looks like the letter 'S'?,Bass clef,Treble clef,Tenor clef,Alto clef,B
531,What is the name of the study of animals?,Botany,Ecology,Zoology,Entomology,C
532,What is the national dish of Spain?,Tortilla,Tapas,Paella,Gazpacho,C
533,What is the difference between a preface and a foreword?,No difference,Preface is by the author; foreword is by someone else,Foreword is by the author; preface is by someone else,Preface is longer,B
534,"What is the name for a story that teaches a moral lesson, often with animals?",Legend,Myth,Parable,Fable,D
535,What two colors make green?,Red and blue,Yellow and red,Blue and red,Yellow and blue,D
536,What does 'carte blanche' mean?,Blank check of authority,White card,Free meal,Fresh start,A
537,What is the capital of El Salvador?,San Miguel,Soyapango,Santa Ana,San Salvador,D
538,Who was the leader of Nazi Germany?,Mussolini,Stalin,Hitler,Franco,C
539,What company owns Instagram?,Twitter,Google,Apple,Meta,D
540,What is the first move requirement for castling in chess?,King must not have moved,All pieces must be present,King must be in check,Queen must be present,A
541,What is the capital of Brazil?,São Paulo,Rio de Janeiro,Brasília,Salvador,C
542,What color is an emerald?,Red,Blue,Green,Yellow,C
543,What does 'ni hao' mean in Mandarin?,Goodbye,Thank you,Please,Hello,D
544,What does 'ubuntu' mean in African philosophy?,I am because we are,Power to the people,Freedom from oppression,Unity is strength,A
545,How many senses do humans traditionally have?,4,5,6,7,B
546,What is the name for software that secretly monitors your computer?,Adware,Ransomware,Trojan,Spyware,D
547,What is the capital of Venezuela?,Maracaibo,Valencia,Barquisimeto,Caracas,D
548,What does 'upload' mean?,Receiving data from the internet,Deleting data,Sending data from your device to a server,Moving data between devices,C
549,What is the capital of Qatar?,Al Wakrah,Al Rayyan,Doha,Al Khor,C
550,What does 'renewable energy' mean?,Energy that runs out quickly,Energy that can be replenished naturally,Energy from fossil fuels,Energy stored in batteries,B
551,Where was Napoleon Bonaparte born?,France,Italy,Corsica,Spain,C
552,What is the capital of Syria?,Aleppo,Homs,Latakia,Damascus,D
553,What does 'crescendo' mean in music?,Getting quieter,Getting faster,Getting louder,Getting slower,C
554,What is the opposite of prose?,Fiction,Non-fiction,Drama,Poetry/Verse,D
555,What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,C
556,What is an anagram?,A word spelled backwards,A word with the same letters rearranged,A word that sounds like another,A word opposite in meaning,B
557,What is a 'sans-serif' font?,A font with decorative strokes,A font that uses only uppercase,A font without decorative strokes,A handwritten font,C
558,What is the approximate age of the universe?,4.5 billion years,10 billion years,13.8 billion years,20 billion years,C
559,What is the name of the closest star to Earth (after the sun)?,Sirius,Proxima Centauri,Alpha Centauri A,Vega,B
560,What does 'de facto' mean?,By law,In theory,In reality/practice,By tradition,C
561,What is the binary number system based on?,Base 10,Base 8,Base 16,Base 2,D
562,What is the name of the change from liquid to gas?,Condensation,Evaporation,Melting,Freezing,B
563,What does 'bon voyage' mean?,Good health,Happy birthday,Good journey/trip,Good morning,C
564,What is the name for unwanted bulk email?,Phishing,Malware,Spam,Virus,C
565,What is a baby sheep called?,Calf,Lamb,Kid,Foal,B
566,What is the name of the study of earthquakes?,Geology,Volcanology,Seismology,Tectonics,C
567,What does 'copyright' protect?,Inventions,Business names,Original creative works,Trademarks,C
568,What is the symbol for silver on the periodic table?,Si,Ag,Sv,Au,B
569,What is the capital of Panama?,Colón,San Miguelito,David,Panama City,D
570,Who sang 'Thriller'?,Prince,Michael Jackson,David Bowie,Whitney Houston,B
571,In which city is the Nobel Peace Prize awarded?,Stockholm,Geneva,Copenhagen,Oslo,D
572,What do you call the list of references at the end of a book?,Glossary,Index,Table of Contents,Bibliography,D
573,What does 'hola' mean in Spanish?,Goodbye,Thank you,Please,Hello,D
574,What do caterpillars turn into?,Moths only,Butterflies or moths,Beetles,Dragonflies,B
575,What does 'i.e.' stand for?,In example,Id est (that is),In essence,In effect,B
576,What CSS property changes the size of text?,font-weight,text-size,size,font-size,D
577,What is the term for an animal that sleeps through winter?,Migration,Aestivation,Dormancy,Hibernation,D
578,What is the capital of the Dominican Republic?,Santiago,La Romana,Santo Domingo,San Pedro de Macorís,C
579,What is the square root of 25?,4,5,6,7,B
580,What is the file extension for a PowerPoint file?,.pptx,.power,.prz,.slide,A
581,What family of instruments does a trumpet belong to?,Woodwind,String,Brass,Percussion,C
582,What is the name of the famous clock tower in London?,Big Ben,Tower of London,London Eye,Canary Wharf,A
583,What does 'HDD' stand for?,High Definition Drive,Hard Disk Drive,Hard Data Drive,High Density Drive,B
584,What is the capital of Jordan?,Zarqa,Irbid,Aqaba,Amman,D
585,What is the first month of the year?,December,February,March,January,D
586,How many players are typically in a string quartet?,3,4,5,6,B
587,What is the name of the study of the past through excavation?,History,Anthropology,Paleontology,Archaeology,D
588,What is the highest score in a game of bowling?,250,270,300,290,C
589,What animal is on the Australian coat of arms alongside the emu?,Koala,Platypus,Kangaroo,Kookaburra,C
590,What does 'modus operandi' mean?,Method of working,Reason for acting,Evidence found,Conclusion reached,A
591,What is the capital of Russia?,St. Petersburg,Novosibirsk,Kazan,Moscow,D
592,What is irony?,Saying exactly what you mean,An exaggeration,Saying the opposite of what you mean,A comparison,C
593,What does 'fps' stand for in video?,Frames Per Second,Files Per Second,Frames Per Screen,Format Per Second,A
594,What is the name of the two dots placed over letters like 'ü'?,Tilde,Umlaut/diaeresis,Circumflex,Cedilla,B
595,What is the name of the Egyptian god of the sun?,Osiris,Anubis,Ra,Horus,C
596,What is the name of the fairy in Peter Pan?,Pixie,Fairy Dust,Tinker Bell,Wendy,C
597,What company makes the PlayStation?,Microsoft,Nintendo,Sega,Sony,D
598,What does 'status quo' mean?,New state,Future state,The existing state of affairs,Better state,C
599,What color is Marge Simpson's hair?,Red,Blonde,Black,Blue,D
600,What is the name of a stored value in programming?,Function,Loop,Variable,Condition,C
601,What sport is played at Wimbledon?,Cricket,Golf,Squash,Tennis,D
602,What streaming service created 'Stranger Things'?,Hulu,Disney+,Netflix,Amazon Prime,C
603,What does 'tempo' mean in music?,Volume,Pitch,Speed/pace,Rhythm pattern,C
604,What is the name of the Egyptian goddess of the sky?,Isis,Nut,Hathor,Bastet,B
605,How many strings does a standard guitar have?,4,5,7,6,D
606,What is the literary term for repeating a word or phrase for effect?,Alliteration,Metaphor,Anaphora,Simile,C
607,What sport uses the term 'ace' for a served point won without the opponent touching the ball?,Squash,Badminton,Tennis,Ping pong,C
608,What type of animal is a dolphin?,Fish,Reptile,Amphibian,Mammal,D
609,What is the name for the spacing between groups of letters uniformly?,Leading,Kerning,Gutter,Tracking,D
610,What is the name of the award given for excellence in film?,Grammy,Emmy,Tony,Oscar,D
611,What does 'a.m.' stand for?,After morning,Ante meridiem (before noon),After midnight,Around morning,B
612,What type of animal is Dumbo?,Horse,Dog,Elephant,Donkey,C
613,What is the name of the Norse god of thunder?,Odin,Loki,Thor,Freyr,C
614,What gas is primarily responsible for global warming?,Oxygen,Nitrogen,Carbon dioxide,Argon,C
615,What is the name of the protective shell a caterpillar makes before becoming a butterfly?,Cocoon,Nest,Shell,Chrysalis,D
616,What is the name of the stick used in ice hockey?,Bat,Racket,Stick,Mallet,C
617,What is the capital of Bahrain?,Riffa,Muharraq,Manama,Isa Town,C
618,What is the capital of Montenegro?,Nikšić,Bar,Budva,Podgorica,D
619,What is the capital of Oman?,Salalah,Sohar,Nizwa,Muscat,D
620,What does 'TB' stand for?,Trilobytes,Terabits,Terabytes,Tribytes,C
621,What does 'IDE' stand for in programming?,Integrated Design Environment,Integrated Development Environment,Integrated Data Environment,Interface Design Environment,B
622,What does 'de jure' mean?,In practice,In theory,By tradition,According to law,D
623,What is the name for a group of musicians who play classical music together?,Band,Choir,Orchestra,Ensemble,C
624,What is the name of the boundary at which objects cannot escape a black hole's gravity?,Photon sphere,Singularity,Accretion disk,Event horizon,D
625,What is the capital of Costa Rica?,Alajuela,San José,Cartago,Heredia,B
626,How many strings does a violin have?,3,5,6,4,D
627,What is the name for the process of converting sunlight into electricity?,Nuclear fission,Photovoltaic effect,Electrolysis,Thermoelectric effect,B
628,What is the name of the story about a boy who cried wolf?,A fable by Aesop,A Grimm Brothers tale,An Andersen story,A Perrault tale,A
629,What is the second most populated country in the world?,USA,Indonesia,Pakistan,China,D
630,What is the largest desert in the world?,Gobi,Sahara,Arabian,Antarctic,D
631,What is the name of the trophy in the NBA Finals?,Bill Russell Trophy,Larry O'Brien Trophy,Pat Riley Trophy,Red Auerbach Trophy,B
632,What is the name for animals that eat both plants and meat?,Herbivores,Carnivores,Omnivores,Scavengers,C
633,What is the tallest animal in the world?,Elephant,Giraffe,Camel,Horse,B
634,What does 'por favor' mean in Spanish?,Thank you,Goodbye,Please,Hello,C
635,What black and white animal is known for its strong smell defense?,Badger,Panda,Skunk,Raccoon,C
636,What does 'xie xie' mean in Mandarin?,Hello,Goodbye,Thank you,Please,C
637,What is a pun?,A play on words with multiple meanings,A comparison,An exaggeration,A type of metaphor,A
638,What is a young horse called?,Colt,Pup,Foal,Calf,C
639,What does 'HTTP' stand for?,HyperText Transport Protocol,HyperText Transfer Protocol,High-speed Text Transfer Protocol,HyperText Tracking Protocol,B
640,Who proposed the theory of gravity after seeing an apple fall?,Galileo Galilei,Albert Einstein,Isaac Newton,Edmond Halley,C
641,What is the capital of Malta?,Mdina,Sliema,Valletta,Victoria,C
642,What does the prefix 'tri-' mean?,One,Two,Three,Four,C
643,What color is a sapphire?,Red,Blue,Green,Purple,B
644,What is the name of Adobe's free design tool launched as a competitor to Figma?,XD,InDesign,Illustrator,Firefly,A
645,How many innings are in a standard baseball game?,7,8,9,10,C
646,What is the last month of the year?,November,October,December,September,C
647,What is the national bird of India?,Crane,Eagle,Parrot,Peacock,D
648,What year was Google founded?,2000,1996,1998,2001,C
649,What is the symbol on the Canadian flag?,Maple Leaf,Beaver,Moose,Trillium flower,A
650,In which country did the martial art Taekwondo originate?,Japan,China,Thailand,South Korea,D
651,What is the most popular programming language for web development (frontend)?,Python,Java,PHP,JavaScript,D
652,What is the name of the Norse king of the gods?,Thor,Freyr,Loki,Odin,D
653,What is the name for a word's dictionary definition?,Connotation,Subtext,Implication,Denotation,D
654,What does 'HTML' stand for?,Hyper Transfer Markup Language,Hyper Text Markup Language,High Text Markup Language,Hyper Text Management Language,B
655,What does 'responsive design' mean in web development?,Design that responds to user input,Design that works on all screen sizes,Design with animations,Design with bright colors,B
656,What type of animal is a frog?,Reptile,Mammal,Amphibian,Insect,C
657,What is the capital of Bosnia and Herzegovina?,Banja Luka,Tuzla,Mostar,Sarajevo,D
658,What country did croissants originate from?,France,Austria,Germany,Belgium,B
659,What is the name for an introductory section of a book or play?,Epilogue,Appendix,Index,Prologue,D
660,What is tofu made from?,Rice,Wheat,Soy milk,Almond milk,C
